"X"
124
121.5
123
118
122.8
118.5
127.5
121
118.1
122
123.5
123
123.5
121.2
122.3
124.5
119
123.5
121.5
124.2
124.5
121.1
122.2
123
117.5
118
118.5
121.5
124
115.5
117
122
122.1
123
126.5
120.5
119
118.9
120.2
120.7
122.5
126
125
120
118.8
122.5
118
123
124.3
121.1
120.3
122.5
117.8
120.8
121.5
123.8
120.2
121.5
121.5
123.2
124
121.5
122.5
119.5
123.5
118.5
118
120
116.2
119
128
118.3
120
122
120
124.5
126
118.7
119
118.3
121.6
121.1
122
123
121.5
119
118
116.7
123
118.2
121.5
117.5
117.2
118.3
